13	150	5	882140588
94	525	5	891721439
249	148	3	879640361
889	1070	3	880178367
91	28	4	891439243
934	83	4	891191831
393	787	5	889554674
432	255	5	889416608
476	1118	3	883364392
609	304	5	886895436
315	603	5	879821267
372	649	3	876869977
710	310	3	882063224
881	71	4	876538322
102	576	2	888802722
268	622	3	875310145
623	504	3	891034343
830	203	4	891898061
253	234	4	891628252
429	637	3	882387506
493	597	4	884131738
406	498	5	879445378
422	126	4	875129911
1	130	3	875072002
823	136	5	878438206
354	953	3	891218208
580	825	4	884125339
373	514	4	877098751
433	323	1	880585530
851	619	4	875730629
715	1188	2	875964843
621	410	4	880738623
881	322	4	879051511
110	196	4	886987978
506	90	2	874876599
268	158	2	875743678
49	93	5	888068912
592	735	5	882956158
379	62	2	888646058
303	327	1	879466166
805	231	3	881694978
293	497	4	888906217
922	29	3	891450805
128	416	3	879967367
331	947	5	877196308
280	66	5	891701148
938	225	4	891357161
457	223	5	882396734
880	268	5	892958128
308	322	2	887736408
588	131	5	890024918
321	50	4	879438793
555	21	4	879964265
69	245	1	882027284
291	285	4	874833746
713	300	2	888881939
183	356	3	891466447
643	357	5	891446889
445	28	4	890987772
476	173	5	883364218
730	117	3	880310300
406	490	3	879446228
404	269	4	883790750
348	596	4	886523456
875	174	5	876465025
566	173	3	881649945
712	90	3	874957027
179	333	5	892151459
756	642	2	874829924
916	196	4	880844920
328	433	2	885047670
825	176	5	881101641
473	256	4	878157648
838	254	3	887065606
2	313	5	888552084
345	356	3	884993686
379	496	5	892879481
440	1191	5	891550404
23	73	3	874787016
123	319	4	879809220
360	357	5	880355958
421	96	4	892241343
311	62	3	884365929
271	265	5	885849275
864	569	3	888891794
760	451	5	875668781
892	417	3	886610588
194	70	3	879522324
340	174	4	884989913
251	148	2	886272547
891	278	4	883489438
201	789	3	884112840
83	300	3	889050543
43	393	4	883956417
916	236	4	880843482
64	778	5	889739806
660	33	2	891200193
43	111	4	883955745
497	174	4	879310705
587	343	4	892871337
774	655	1	888555998
70	538	2	884066399
330	501	5	876546719
286	251	5	876521678
81	405	3	876533764
707	1211	4	886287268
537	937	3	886029488
94	42	4	885870577
934	1311	1	891195713
280	316	5	891700184
82	97	4	878769777
815	1133	3	878697466
756	423	3	874830675
621	810	3	874964657
242	331	5	879741340
248	121	2	884536206
887	142	1	881381207
315	520	4	879799526
882	419	5	879864917
5	364	1	875636571
403	284	1	879790389
276	508	5	874786467
310	14	5	879436268
99	931	2	886780147
693	98	4	875483268
694	228	4	875727306
424	427	4	880859346
105	270	5	889214245
871	97	3	888193541
108	931	2	879880190
189	276	3	893264300
